,Prev_Day,Bed_Time,Wake_Time,Awake_Dur,Light_Dur,Deep_Dur,Total_Dur,Nap_Dur,Window_Conf
18,2017-06-08,2017-06-09 05:08:00+00:00,2017-06-09 12:07:00+00:00,0 days 00:00:00.000000000,,,0 days 06:59:00.000000000,0 days 00:00:00.000000000,True
19,2017-06-09,2017-06-10 07:22:00+00:00,2017-06-10 16:32:00+00:00,0 days 00:00:00.000000000,,,0 days 09:10:00.000000000,0 days 00:00:00.000000000,True
20,2017-06-10,2017-06-11 05:38:00+00:00,2017-06-11 15:44:00+00:00,0 days 00:00:00.000000000,,,0 days 10:06:00.000000000,0 days 00:00:00.000000000,True
21,2017-06-11,2017-06-12 07:01:00+00:00,2017-06-12 11:56:00+00:00,0 days 00:00:00.000000000,,,0 days 04:55:00.000000000,0 days 00:00:00.000000000,True
22,2017-06-12,2017-06-13 06:51:00+00:00,2017-06-13 10:38:00+00:00,0 days 00:00:00.000000000,,,0 days 03:47:00.000000000,0 days 00:00:00.000000000,True
23,2017-06-13,2017-06-14 06:58:00+00:00,2017-06-14 13:38:00+00:00,0 days 00:00:00.000000000,,,0 days 06:40:00.000000000,0 days 00:00:00.000000000,True
24,2017-06-15,2017-06-16 07:36:00+00:00,2017-06-16 13:03:00+00:00,0 days 00:00:00.000000000,,,0 days 05:27:00.000000000,0 days 00:00:00.000000000,True
25,2017-06-16,2017-06-17 04:52:00+00:00,2017-06-17 15:56:00+00:00,0 days 00:00:00.000000000,,,0 days 11:04:00.000000000,0 days 00:00:00.000000000,True
26,2017-06-18,2017-06-19 06:36:00+00:00,2017-06-19 17:03:00+00:00,0 days 00:00:00.000000000,,,0 days 10:27:00.000000000,0 days 00:00:00.000000000,True
27,2017-06-20,2017-06-21 06:23:00+00:00,2017-06-21 15:47:00+00:00,0 days 00:00:00.000000000,,,0 days 09:24:00.000000000,0 days 00:00:00.000000000,True
28,2017-06-22,2017-06-23 05:23:00+00:00,2017-06-23 14:23:00+00:00,0 days 00:00:00.000000000,,,0 days 09:00:00.000000000,0 days 00:00:00.000000000,True
29,2017-06-23,2017-06-24 07:43:00+00:00,2017-06-24 15:51:00+00:00,0 days 00:00:00.000000000,,,0 days 08:08:00.000000000,0 days 00:00:00.000000000,True
30,2017-06-24,2017-06-25 07:52:00+00:00,2017-06-25 16:03:00+00:00,0 days 00:00:00.000000000,,,0 days 08:11:00.000000000,0 days 00:00:00.000000000,True
31,2017-06-25,2017-06-26 07:55:00+00:00,2017-06-26 12:26:00+00:00,0 days 00:00:00.000000000,,,0 days 04:31:00.000000000,0 days 00:00:00.000000000,True
32,2017-06-26,2017-06-27 06:43:00+00:00,2017-06-27 12:59:00+00:00,0 days 00:00:00.000000000,,,0 days 06:16:00.000000000,0 days 00:00:00.000000000,True
33,2017-06-27,2017-06-28 06:44:00+00:00,2017-06-28 13:02:00+00:00,0 days 00:00:00.000000000,,,0 days 06:18:00.000000000,0 days 00:00:00.000000000,True
34,2017-06-28,2017-06-29 06:32:00+00:00,2017-06-29 11:07:00+00:00,0 days 00:00:00.000000000,,,0 days 04:35:00.000000000,0 days 00:00:00.000000000,True
35,2017-06-29,2017-06-30 04:29:00+00:00,2017-06-30 10:41:00+00:00,0 days 00:00:00.000000000,,,0 days 06:12:00.000000000,0 days 00:00:00.000000000,True
36,2017-06-30,2017-07-01 06:38:00+00:00,2017-07-01 15:21:00+00:00,0 days 00:00:00.000000000,,,0 days 08:43:00.000000000,0 days 00:00:00.000000000,True
37,2017-07-01,2017-07-02 06:42:00+00:00,2017-07-02 14:54:00+00:00,0 days 00:00:00.000000000,,,0 days 08:12:00.000000000,0 days 00:00:00.000000000,True
38,2017-07-02,2017-07-03 04:58:00+00:00,2017-07-03 13:38:00+00:00,0 days 00:00:00.000000000,,,0 days 08:40:00.000000000,0 days 00:00:00.000000000,True
39,2017-07-03,2017-07-04 07:41:00+00:00,2017-07-04 15:36:00+00:00,0 days 00:00:00.000000000,,,0 days 07:55:00.000000000,0 days 00:00:00.000000000,True
40,2017-07-04,2017-07-05 06:26:00+00:00,2017-07-05 12:25:00+00:00,0 days 00:00:00.000000000,,,0 days 05:59:00.000000000,0 days 00:00:00.000000000,True
41,2017-07-05,2017-07-06 06:58:00+00:00,2017-07-06 11:55:00+00:00,0 days 00:00:00.000000000,,,0 days 04:57:00.000000000,0 days 00:00:00.000000000,True
42,2017-07-07,2017-07-08 05:48:00+00:00,2017-07-08 15:55:00+00:00,0 days 00:00:00.000000000,,,0 days 10:07:00.000000000,0 days 00:00:00.000000000,True
43,2017-07-08,2017-07-09 07:35:00+00:00,2017-07-09 14:11:00+00:00,0 days 00:00:00.000000000,,,0 days 06:36:00.000000000,0 days 00:00:00.000000000,True
44,2017-07-09,2017-07-10 06:12:00+00:00,2017-07-10 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 05:40:00.000000000,0 days 00:00:00.000000000,True
45,2017-07-10,2017-07-11 04:48:00+00:00,2017-07-11 11:58:00+00:00,0 days 00:00:00.000000000,,,0 days 07:10:00.000000000,0 days 00:00:00.000000000,True
46,2017-07-11,2017-07-12 06:25:00+00:00,2017-07-12 11:51:00+00:00,0 days 00:00:00.000000000,,,0 days 05:26:00.000000000,0 days 00:00:00.000000000,True
47,2017-07-12,2017-07-13 06:04:00+00:00,2017-07-13 11:16:00+00:00,0 days 00:00:00.000000000,,,0 days 05:12:00.000000000,0 days 00:00:00.000000000,True
48,2017-07-13,2017-07-14 03:26:00+00:00,2017-07-14 11:19:00+00:00,0 days 00:00:00.000000000,,,0 days 07:53:00.000000000,0 days 00:00:00.000000000,True
49,2017-07-14,2017-07-15 05:49:00+00:00,2017-07-15 13:47:00+00:00,0 days 00:00:00.000000000,,,0 days 07:58:00.000000000,0 days 00:00:00.000000000,True
50,2017-07-15,2017-07-16 05:51:00+00:00,2017-07-16 14:37:00+00:00,0 days 00:00:00.000000000,,,0 days 08:46:00.000000000,0 days 00:00:00.000000000,True
51,2017-07-16,2017-07-17 06:00:00+00:00,2017-07-17 12:26:00+00:00,0 days 00:00:00.000000000,,,0 days 06:26:00.000000000,0 days 00:00:00.000000000,True
52,2017-07-17,2017-07-18 05:57:00+00:00,2017-07-18 11:54:00+00:00,0 days 00:00:00.000000000,,,0 days 05:57:00.000000000,0 days 00:00:00.000000000,True
53,2017-07-18,2017-07-19 06:08:00+00:00,2017-07-19 11:35:00+00:00,0 days 00:00:00.000000000,,,0 days 05:27:00.000000000,0 days 00:00:00.000000000,True
54,2017-07-19,2017-07-20 06:51:00+00:00,2017-07-20 11:56:00+00:00,0 days 00:00:00.000000000,,,0 days 05:05:00.000000000,0 days 00:00:00.000000000,True
55,2017-07-20,2017-07-21 06:08:00+00:00,2017-07-21 13:49:00+00:00,0 days 00:00:00.000000000,,,0 days 07:41:00.000000000,0 days 00:00:00.000000000,True
56,2017-07-22,2017-07-23 07:44:00+00:00,2017-07-23 14:00:00+00:00,0 days 00:00:00.000000000,,,0 days 06:16:00.000000000,0 days 00:00:00.000000000,True
57,2017-07-23,2017-07-24 06:10:00+00:00,2017-07-24 11:53:00+00:00,0 days 00:00:00.000000000,,,0 days 05:43:00.000000000,0 days 00:00:00.000000000,True
58,2017-07-24,2017-07-25 06:05:00+00:00,2017-07-25 11:41:00+00:00,0 days 00:00:00.000000000,,,0 days 05:36:00.000000000,0 days 00:00:00.000000000,True
59,2017-07-25,2017-07-26 06:26:00+00:00,2017-07-26 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 05:26:00.000000000,0 days 00:00:00.000000000,True
60,2017-07-26,2017-07-27 03:58:00+00:00,2017-07-27 11:45:00+00:00,0 days 00:00:00.000000000,,,0 days 07:47:00.000000000,0 days 00:00:00.000000000,True
61,2017-07-27,2017-07-28 05:45:00+00:00,2017-07-28 15:17:00+00:00,0 days 00:00:00.000000000,,,0 days 09:32:00.000000000,0 days 00:00:00.000000000,True
62,2017-07-28,2017-07-29 05:47:00+00:00,2017-07-29 14:05:00+00:00,0 days 00:00:00.000000000,,,0 days 08:18:00.000000000,0 days 00:00:00.000000000,True
63,2017-07-29,2017-07-30 05:46:00+00:00,2017-07-30 14:25:00+00:00,0 days 00:00:00.000000000,,,0 days 08:39:00.000000000,0 days 00:00:00.000000000,True
64,2017-07-30,2017-07-31 06:11:00+00:00,2017-07-31 12:10:00+00:00,0 days 00:00:00.000000000,,,0 days 05:59:00.000000000,0 days 00:00:00.000000000,True
65,2017-08-01,2017-08-02 05:41:00+00:00,2017-08-02 11:54:00+00:00,0 days 00:00:00.000000000,,,0 days 06:13:00.000000000,0 days 00:00:00.000000000,True
66,2017-08-02,2017-08-03 06:18:00+00:00,2017-08-03 11:57:00+00:00,0 days 00:00:00.000000000,,,0 days 05:39:00.000000000,0 days 00:00:00.000000000,True
67,2017-08-03,2017-08-04 03:34:00+00:00,2017-08-04 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 08:18:00.000000000,0 days 00:00:00.000000000,True
68,2017-08-04,2017-08-05 06:11:00+00:00,2017-08-05 15:45:00+00:00,0 days 00:00:00.000000000,,,0 days 09:34:00.000000000,0 days 00:00:00.000000000,True
69,2017-08-05,2017-08-06 05:32:00+00:00,2017-08-06 14:48:00+00:00,0 days 00:00:00.000000000,,,0 days 09:16:00.000000000,0 days 00:00:00.000000000,True
70,2017-08-06,2017-08-07 04:52:00+00:00,2017-08-07 12:36:00+00:00,0 days 00:00:00.000000000,,,0 days 07:44:00.000000000,0 days 00:00:00.000000000,True
71,2017-08-07,2017-08-08 05:41:00+00:00,2017-08-08 11:55:00+00:00,0 days 00:00:00.000000000,,,0 days 06:14:00.000000000,0 days 00:00:00.000000000,True
72,2017-08-08,2017-08-09 05:15:00+00:00,2017-08-09 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 06:37:00.000000000,0 days 00:00:00.000000000,True
73,2017-08-09,2017-08-10 05:48:00+00:00,2017-08-10 11:59:00+00:00,0 days 00:00:00.000000000,,,0 days 06:11:00.000000000,0 days 00:00:00.000000000,True
74,2017-08-11,2017-08-12 06:17:00+00:00,2017-08-12 13:36:00+00:00,0 days 00:00:00.000000000,,,0 days 07:19:00.000000000,0 days 00:00:00.000000000,True
75,2017-08-12,2017-08-13 06:35:00+00:00,2017-08-13 14:44:00+00:00,0 days 00:00:00.000000000,,,0 days 08:09:00.000000000,0 days 00:00:00.000000000,True
76,2017-08-13,2017-08-14 06:59:00+00:00,2017-08-14 12:14:00+00:00,0 days 00:00:00.000000000,,,0 days 05:15:00.000000000,0 days 00:00:00.000000000,True
77,2017-08-14,2017-08-15 06:03:00+00:00,2017-08-15 11:50:00+00:00,0 days 00:00:00.000000000,,,0 days 05:47:00.000000000,0 days 00:00:00.000000000,True
78,2017-08-15,2017-08-16 06:27:00+00:00,2017-08-16 11:38:00+00:00,0 days 00:00:00.000000000,,,0 days 05:11:00.000000000,0 days 00:00:00.000000000,True
79,2017-08-16,2017-08-17 05:12:00+00:00,2017-08-17 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 06:40:00.000000000,0 days 00:00:00.000000000,True
80,2017-08-17,2017-08-18 04:34:00+00:00,2017-08-18 11:22:00+00:00,0 days 00:00:00.000000000,,,0 days 06:48:00.000000000,0 days 00:00:00.000000000,True
81,2017-08-18,2017-08-19 05:59:00+00:00,2017-08-19 11:30:00+00:00,0 days 00:00:00.000000000,,,0 days 05:31:00.000000000,0 days 00:00:00.000000000,True
82,2017-08-19,2017-08-20 08:30:00+00:00,2017-08-20 14:54:00+00:00,0 days 00:00:00.000000000,,,0 days 06:24:00.000000000,0 days 00:00:00.000000000,True
83,2017-08-20,2017-08-21 05:42:00+00:00,2017-08-21 11:12:00+00:00,0 days 00:00:00.000000000,,,0 days 05:30:00.000000000,0 days 00:00:00.000000000,True
84,2017-08-21,2017-08-22 03:35:00+00:00,2017-08-22 11:30:00+00:00,0 days 00:00:00.000000000,,,0 days 07:55:00.000000000,0 days 00:00:00.000000000,True
85,2017-08-22,2017-08-23 05:40:00+00:00,2017-08-23 11:51:00+00:00,0 days 00:00:00.000000000,,,0 days 06:11:00.000000000,0 days 00:00:00.000000000,True
86,2017-08-23,2017-08-24 06:27:00+00:00,2017-08-24 11:56:00+00:00,0 days 00:00:00.000000000,,,0 days 05:29:00.000000000,0 days 00:00:00.000000000,True
87,2017-08-24,2017-08-25 03:08:00+00:00,2017-08-25 12:09:00+00:00,0 days 00:00:00.000000000,,,0 days 09:01:00.000000000,0 days 00:00:00.000000000,True
88,2017-08-25,2017-08-26 05:44:00+00:00,2017-08-26 16:52:00+00:00,0 days 00:00:00.000000000,,,0 days 11:08:00.000000000,0 days 00:00:00.000000000,True
89,2017-08-26,2017-08-27 06:08:00+00:00,2017-08-27 14:28:00+00:00,0 days 00:00:00.000000000,,,0 days 08:20:00.000000000,0 days 00:00:00.000000000,True
90,2017-08-27,2017-08-28 06:14:00+00:00,2017-08-28 13:02:00+00:00,0 days 00:00:00.000000000,,,0 days 06:48:00.000000000,0 days 00:00:00.000000000,True
91,2017-08-28,2017-08-29 06:48:00+00:00,2017-08-29 11:59:00+00:00,0 days 00:00:00.000000000,,,0 days 05:11:00.000000000,0 days 00:00:00.000000000,True
92,2017-08-29,2017-08-30 07:03:00+00:00,2017-08-30 11:57:00+00:00,0 days 00:00:00.000000000,,,0 days 04:54:00.000000000,0 days 00:00:00.000000000,True
93,2017-08-31,2017-09-01 05:08:00+00:00,2017-09-01 11:52:00+00:00,0 days 00:00:00.000000000,,,0 days 06:44:00.000000000,0 days 00:00:00.000000000,True
94,2017-09-01,2017-09-02 06:38:00+00:00,2017-09-02 15:38:00+00:00,0 days 00:00:00.000000000,,,0 days 09:00:00.000000000,0 days 00:00:00.000000000,True
95,2017-09-02,2017-09-03 07:56:00+00:00,2017-09-03 14:28:00+00:00,0 days 00:00:00.000000000,,,0 days 06:32:00.000000000,0 days 00:00:00.000000000,True
96,2017-09-03,2017-09-04 04:32:00+00:00,2017-09-04 13:13:00+00:00,0 days 00:00:00.000000000,,,0 days 08:41:00.000000000,0 days 00:00:00.000000000,True
97,2017-09-04,2017-09-05 05:17:00+00:00,2017-09-05 11:44:00+00:00,0 days 00:00:00.000000000,,,0 days 06:27:00.000000000,0 days 00:00:00.000000000,True
98,2017-09-05,2017-09-06 06:53:00+00:00,2017-09-06 12:29:00+00:00,0 days 00:00:00.000000000,,,0 days 05:36:00.000000000,0 days 00:00:00.000000000,True
99,2017-09-06,2017-09-07 03:42:00+00:00,2017-09-07 12:31:00+00:00,0 days 00:00:00.000000000,,,0 days 08:49:00.000000000,0 days 00:00:00.000000000,True
100,2017-09-09,2017-09-10 06:30:00+00:00,2017-09-10 15:11:00+00:00,0 days 00:00:00.000000000,,,0 days 08:41:00.000000000,0 days 00:00:00.000000000,True
101,2017-09-12,2017-09-13 05:17:00+00:00,2017-09-13 11:39:00+00:00,0 days 00:00:00.000000000,,,0 days 06:22:00.000000000,0 days 00:00:00.000000000,True
102,2017-09-14,2017-09-15 07:46:00+00:00,2017-09-15 13:42:00+00:00,0 days 00:00:00.000000000,,,0 days 05:56:00.000000000,0 days 00:00:00.000000000,True
103,2017-09-15,2017-09-16 05:14:00+00:00,2017-09-16 16:59:00+00:00,0 days 00:00:00.000000000,,,0 days 11:45:00.000000000,0 days 00:00:00.000000000,True
104,2017-09-16,2017-09-17 07:00:00+00:00,2017-09-17 14:29:00+00:00,0 days 00:00:00.000000000,,,0 days 07:29:00.000000000,0 days 00:00:00.000000000,True
105,2017-09-17,2017-09-18 06:00:00+00:00,2017-09-18 12:35:00+00:00,0 days 00:00:00.000000000,,,0 days 06:35:00.000000000,0 days 00:00:00.000000000,True
106,2017-09-19,2017-09-20 05:51:00+00:00,2017-09-20 12:34:00+00:00,0 days 00:00:00.000000000,,,0 days 06:43:00.000000000,0 days 00:00:00.000000000,True
107,2017-09-20,2017-09-21 06:52:00+00:00,2017-09-21 13:43:00+00:00,0 days 00:00:00.000000000,,,0 days 06:51:00.000000000,0 days 00:00:00.000000000,True
108,2017-09-21,2017-09-22 06:49:00+00:00,2017-09-22 15:21:00+00:00,0 days 00:00:00.000000000,,,0 days 08:32:00.000000000,0 days 00:00:00.000000000,True
109,2017-09-22,2017-09-23 08:37:00+00:00,2017-09-23 16:49:00+00:00,0 days 00:00:00.000000000,,,0 days 08:12:00.000000000,0 days 00:00:00.000000000,True
110,2017-09-23,2017-09-24 06:14:00+00:00,2017-09-24 14:58:00+00:00,0 days 00:00:00.000000000,,,0 days 08:44:00.000000000,0 days 00:00:00.000000000,True
111,2017-09-24,2017-09-25 08:58:00+00:00,2017-09-25 18:46:00+00:00,0 days 00:00:00.000000000,,,0 days 09:48:00.000000000,0 days 00:00:00.000000000,True
112,2017-09-25,2017-09-26 06:14:00+00:00,2017-09-26 15:06:00+00:00,0 days 00:00:00.000000000,,,0 days 08:52:00.000000000,0 days 00:00:00.000000000,True
113,2017-09-26,2017-09-27 06:43:00+00:00,2017-09-27 11:34:00+00:00,0 days 00:00:00.000000000,,,0 days 04:51:00.000000000,0 days 00:00:00.000000000,True
114,2017-09-27,2017-09-28 05:06:00+00:00,2017-09-28 11:34:00+00:00,0 days 00:00:00.000000000,,,0 days 06:28:00.000000000,0 days 00:00:00.000000000,True
115,2017-09-28,2017-09-29 06:28:00+00:00,2017-09-29 15:04:00+00:00,0 days 00:00:00.000000000,,,0 days 08:36:00.000000000,0 days 00:00:00.000000000,True
116,2017-09-29,2017-09-30 07:28:00+00:00,2017-09-30 13:48:00+00:00,0 days 00:00:00.000000000,,,0 days 06:20:00.000000000,0 days 00:00:00.000000000,True
117,2017-09-30,2017-10-01 08:04:00+00:00,2017-10-01 13:18:00+00:00,0 days 00:00:00.000000000,,,0 days 05:14:00.000000000,0 days 00:00:00.000000000,True
118,2017-10-01,2017-10-02 04:54:00+00:00,2017-10-02 12:46:00+00:00,0 days 00:00:00.000000000,,,0 days 07:52:00.000000000,0 days 00:00:00.000000000,True
119,2017-10-02,2017-10-03 05:35:00+00:00,2017-10-03 12:51:00+00:00,0 days 00:00:00.000000000,,,0 days 07:16:00.000000000,0 days 00:00:00.000000000,True
120,2017-10-03,2017-10-03 21:52:00+00:00,2017-10-04 06:11:00+00:00,0 days 00:00:00.000000000,,,0 days 08:19:00.000000000,0 days 00:00:00.000000000,True
121,2017-10-04,2017-10-05 06:04:00+00:00,2017-10-05 11:48:00+00:00,0 days 00:00:00.000000000,,,0 days 05:44:00.000000000,0 days 00:00:00.000000000,True
122,2017-10-05,2017-10-06 06:43:00+00:00,2017-10-06 12:42:00+00:00,0 days 00:00:00.000000000,,,0 days 05:59:00.000000000,0 days 00:00:00.000000000,True
123,2017-10-06,2017-10-07 08:26:00+00:00,2017-10-07 16:10:00+00:00,0 days 00:00:00.000000000,,,0 days 07:44:00.000000000,0 days 00:00:00.000000000,True
124,2017-10-07,2017-10-08 07:13:00+00:00,2017-10-08 14:23:00+00:00,0 days 00:00:00.000000000,,,0 days 07:10:00.000000000,0 days 00:00:00.000000000,True
125,2017-10-08,2017-10-09 06:21:00+00:00,2017-10-09 12:35:00+00:00,0 days 00:00:00.000000000,,,0 days 06:14:00.000000000,0 days 00:00:00.000000000,True
126,2017-10-10,2017-10-11 06:34:00+00:00,2017-10-11 12:30:00+00:00,0 days 00:00:00.000000000,,,0 days 05:56:00.000000000,0 days 00:00:00.000000000,True
127,2017-10-11,2017-10-12 05:40:00+00:00,2017-10-12 12:06:00+00:00,0 days 00:00:00.000000000,,,0 days 06:26:00.000000000,0 days 00:00:00.000000000,True
128,2017-10-13,2017-10-14 06:31:00+00:00,2017-10-14 16:41:00+00:00,0 days 00:00:00.000000000,,,0 days 10:10:00.000000000,0 days 00:00:00.000000000,True
129,2017-10-15,2017-10-16 07:47:00+00:00,2017-10-16 13:37:00+00:00,0 days 00:00:00.000000000,,,0 days 05:50:00.000000000,0 days 00:00:00.000000000,True
130,2017-10-16,2017-10-17 07:07:00+00:00,2017-10-17 12:51:00+00:00,0 days 00:00:00.000000000,,,0 days 05:44:00.000000000,0 days 00:00:00.000000000,True
131,2017-10-18,2017-10-19 05:14:00+00:00,2017-10-19 12:01:00+00:00,0 days 00:00:00.000000000,,,0 days 06:47:00.000000000,0 days 00:00:00.000000000,True
132,2017-10-19,2017-10-20 02:36:00+00:00,2017-10-20 12:48:00+00:00,0 days 00:00:00.000000000,,,0 days 10:12:00.000000000,0 days 00:00:00.000000000,True
133,2017-10-20,2017-10-21 06:33:00+00:00,2017-10-21 15:33:00+00:00,0 days 00:00:00.000000000,,,0 days 09:00:00.000000000,0 days 00:00:00.000000000,True
134,2017-10-21,2017-10-22 05:18:00+00:00,2017-10-22 14:31:00+00:00,0 days 00:00:00.000000000,,,0 days 09:13:00.000000000,0 days 00:00:00.000000000,True
135,2017-10-22,2017-10-23 05:58:00+00:00,2017-10-23 12:31:00+00:00,0 days 00:00:00.000000000,,,0 days 06:33:00.000000000,0 days 00:00:00.000000000,True
136,2017-10-23,2017-10-24 05:50:00+00:00,2017-10-24 12:02:00+00:00,0 days 00:00:00.000000000,,,0 days 06:12:00.000000000,0 days 00:00:00.000000000,True
137,2017-10-24,2017-10-25 07:47:00+00:00,2017-10-25 12:42:00+00:00,0 days 00:00:00.000000000,,,0 days 04:55:00.000000000,0 days 00:00:00.000000000,True
138,2017-10-27,2017-10-28 03:13:00+00:00,2017-10-28 14:21:00+00:00,0 days 00:00:00.000000000,,,0 days 11:08:00.000000000,0 days 00:00:00.000000000,True
139,2017-10-28,2017-10-29 05:40:00+00:00,2017-10-29 14:17:00+00:00,0 days 00:00:00.000000000,,,0 days 08:37:00.000000000,0 days 00:00:00.000000000,True
140,2017-10-29,2017-10-30 05:53:00+00:00,2017-10-30 12:56:00+00:00,0 days 00:00:00.000000000,,,0 days 07:03:00.000000000,0 days 00:00:00.000000000,True
141,2017-10-30,2017-10-31 06:53:00+00:00,2017-10-31 10:47:00+00:00,0 days 00:00:00.000000000,,,0 days 03:54:00.000000000,0 days 00:00:00.000000000,True
142,2017-10-31,2017-11-01 04:56:00+00:00,2017-11-01 13:14:00+00:00,0 days 00:00:00.000000000,,,0 days 08:18:00.000000000,0 days 00:00:00.000000000,True
143,2017-11-01,2017-11-02 06:17:00+00:00,2017-11-02 12:35:00+00:00,0 days 00:00:00.000000000,,,0 days 06:18:00.000000000,0 days 00:00:00.000000000,True
144,2017-11-02,2017-11-03 07:27:00+00:00,2017-11-03 12:52:00+00:00,0 days 00:00:00.000000000,,,0 days 05:25:00.000000000,0 days 00:00:00.000000000,True
145,2017-11-03,2017-11-04 04:39:00+00:00,2017-11-04 15:24:00+00:00,0 days 00:00:00.000000000,,,0 days 10:45:00.000000000,0 days 00:00:00.000000000,True
146,2017-11-04,2017-11-05 07:55:00+00:00,2017-11-05 14:45:00+00:00,0 days 00:00:00.000000000,,,0 days 06:50:00.000000000,0 days 00:00:00.000000000,True
147,2017-11-05,2017-11-06 08:04:00+00:00,2017-11-06 13:33:00+00:00,0 days 00:00:00.000000000,,,0 days 05:29:00.000000000,0 days 00:00:00.000000000,True
148,2017-11-06,2017-11-07 08:24:00+00:00,2017-11-07 13:53:00+00:00,0 days 00:00:00.000000000,,,0 days 05:29:00.000000000,0 days 00:00:00.000000000,True
149,2017-11-07,2017-11-08 07:54:00+00:00,2017-11-08 13:41:00+00:00,0 days 00:00:00.000000000,,,0 days 05:47:00.000000000,0 days 00:00:00.000000000,True
150,2017-11-08,2017-11-09 06:50:00+00:00,2017-11-09 13:26:00+00:00,0 days 00:00:00.000000000,,,0 days 06:36:00.000000000,0 days 00:00:00.000000000,True
151,2017-11-10,2017-11-11 03:51:00+00:00,2017-11-11 15:15:00+00:00,0 days 00:00:00.000000000,,,0 days 11:24:00.000000000,0 days 00:00:00.000000000,True
152,2017-11-11,2017-11-12 06:12:00+00:00,2017-11-12 15:35:00+00:00,0 days 00:00:00.000000000,,,0 days 09:23:00.000000000,0 days 00:00:00.000000000,True
153,2017-11-12,2017-11-13 07:51:00+00:00,2017-11-13 13:50:00+00:00,0 days 00:00:00.000000000,,,0 days 05:59:00.000000000,0 days 00:00:00.000000000,True
154,2017-11-13,2017-11-14 08:05:00+00:00,2017-11-14 13:32:00+00:00,0 days 00:00:00.000000000,,,0 days 05:27:00.000000000,0 days 00:00:00.000000000,True
